fips,geo_name,state_abb,facility_count_2022,total_needs_2022,design_flow_2022,tier0_needs,tier1_needs,tier2_needs,tier3_needs
4863500,round rock,TX,2.0,27583362.547512237,43.0,7006210.0,,20577152.547512237,
4864472,san angelo,TX,,8425346.0,,,,8425346.0,
4865000,san antonio,TX,13.0,282233400.0,616.53,36650792.0,,245582608.0,
4872176,temple,TX,1.0,49763023.56999952,15.0,0.0,,49763023.56999952,
4874144,tyler,TX,1.0,274518369.0,20.0,270043799.0,,4474570.0,
4876000,waco,TX,4.0,130142833.0,0.0,11271133.0,,118871700.0,
4943660,layton,UT,1.0,72944095.59910724,0.0,30700425.0,42200081.0,,43589.59910722925
4945860,logan,UT,1.0,53238853.36307256,36.0,28054306.0,22064521.0,3085147.0,34879.363072555985
4955980,ogden,UT,1.0,143649862.67942446,0.0,33381826.0,103556362.0,6658445.0,53229.679424462855
4957300,orem,UT,,27626605.86193997,,,24660780.0,2929854.807766807,35971.054173163866
4962470,provo,UT,2.0,360232005.727095,42.0,248601287.0,104987238.0,6562905.192233194,80575.53486177677
4967000,salt lake city,UT,1.0,1260563577.1568627,96.0,1055116970.0,204864064.0,368284.0041366229,214259.15272624145
4967440,sandy,UT,2.0,80615464.0733027,0.0,57220130.0,23268088.0,80445.01567737166,46801.057625323214
4975360,taylorsville,UT,1.0,38213583.78043667,0.0,22990062.0,15166547.0,36019.477744824944,20955.30269184574
4982950,west jordan,UT,2.0,380651725.26576126,50.0,327178618.0,53301924.0,108222.12537052401,62961.14039077195
4983470,west valley city,UT,1.0,65328577.49299729,0.0,32362733.0,32777633.0,118987.37707065647,69224.1159266289
5101000,alexandria,VA,2.0,648146552.4951595,108.0,474416125.0,163611628.0,,10118799.495159509
5116000,chesapeake,VA,1.0,901596053.6578856,0.0,71825303.0,558624538.0,41839460.0,229306752.6578855
5135000,hampton,VA,2.0,484954218.2751357,0.0,38560393.0,411029683.0,499128.0,34865014.27513572
5156000,newport news,VA,3.0,1324929722.486075,45.0,761765005.0,516419464.0,,46745253.486074865
5157000,norfolk,VA,5.0,1529656456.2417781,98.0,967333096.0,526229196.0,,36094164.24177803
5164000,portsmouth,VA,1.0,437562919.8206754,0.0,83416254.0,331585247.0,,22561418.820675388
5167000,richmond,VA,1.0,830659449.1714907,140.0,411774268.0,952181.0,377333355.0,40599645.17149064
5168000,roanoke,VA,,38037444.057767704,,,4361652.0,4867351.0,28808441.057767704
5176432,suffolk,VA,2.0,1344674316.0388355,60.0,634957495.0,439278140.0,,270438681.03883564
5182000,virginia beach,VA,3.0,1342399859.755197,78.0,415578161.0,761022878.0,,165798820.75519702
523290,fayetteville,AR,2.0,299583430.59554744,20.0,24378745.0,13404328.0,114160811.0,147639546.59554744
5303180,auburn,WA,1.0,138451643.4988081,0.0,5553325.0,2004545.0,130893773.49880809,
5305210,bellevue,WA,2.0,284104474.1095687,0.0,135992574.0,,148111900.1095687,
5305280,bellingham,WA,3.0,336768085.0,60.0,46242464.0,57737399.0,232788222.0,
5322640,everett,WA,2.0,912310859.0,62.6,68390036.0,4979081.0,838941742.0,
5323515,federal way,WA,2.0,115348072.40398449,31.2,0.0,16529967.0,98818105.40398449,
5335415,kent,WA,2.0,149895512.3232958,0.0,167239.0,,149728273.3232958,
5351300,olympia,WA,3.0,999134737.0,39.0,213847543.0,16934394.0,768352800.0,
535710,jonesboro,AR,2.0,425720581.3333241,29.9,70860771.0,130460022.0,8205308.0,216194480.33332404
5357535,redmond,WA,1.0,75746810.8207695,0.0,0.0,2429334.0,73317476.8207695,
5357745,renton,WA,3.0,2061976383.53421,244.0,1904244474.0,53553174.0,104178735.5342099,
5363000,seattle,WA,2.0,4508144710.309363,215.0,3621713800.0,514685362.0,371745548.3093635,
5367000,spokane,WA,2.0,268025471.0,109.68,135455572.0,32047098.0,100522801.0,
5370000,tacoma,WA,3.0,2071402397.0,237.2,502542533.0,430161243.0,1138698621.0,
5374060,vancouver,WA,3.0,303861084.0,47.56,152050346.0,28263372.0,123547366.0,
5380010,yakima,WA,1.0,166539413.0,21.5,25448962.0,5236614.0,135853837.0,
541000,little rock,AR,3.0,674816479.5725567,112.0,348193858.0,,2301428.2951477882,324321193.277409
5502375,appleton,WI,2.0,253352925.23168382,131.0,60870290.0,,70979329.0,121503306.23168382
550450,north little rock,AR,4.0,220616804.24670565,54.2,76572137.0,,1014958.7048522115,143029708.54185346
5531000,green bay,WI,3.0,913147749.7041761,108.4,509989287.0,107695814.0,77297845.0,218164803.7041761
5539225,kenosha,WI,1.0,181008373.89429656,57.2,0.0,3643852.0,39961656.0,137402865.89429656
5540775,la crosse,WI,2.0,171297194.6498636,40.0,9057499.0,11675799.0,46416282.0,104147614.64986359
5548000,madison,WI,2.0,586277093.2788224,0.0,24033183.0,62527639.0,101137815.0,398578456.2788224
5553000,milwaukee,WI,5.0,2437678083.326849,690.0,1556566873.0,253404.0,419511908.0,461345898.32684886
5560500,oshkosh,WI,2.0,205505034.60352975,40.0,30718543.0,12100894.0,32825184.0,129860413.60352975
5566000,racine,WI,1.0,315324339.80530506,72.0,186867595.0,10524149.0,43712110.0,74220485.80530508
5584250,waukesha,WI,1.0,335505817.5054739,28.0,73273855.0,538055.0,139256899.0,122437008.5054739
560410,rogers,AR,1.0,666949940.251866,28.0,280350130.0,1308589.0,280411613.0,104879608.25186603
5613900,cheyenne,WY,2.0,19602980.0,13.0,14256866.0,,5346114.0,
600562,alameda,CA,1.0,87236259.41754459,0.0,11439082.0,1992012.0,51601656.679664634,22203508.737879954
602000,anaheim,CA,3.0,360097353.63948375,0.0,205728212.0,,47010055.524087474,107359086.11539626
602252,antioch,CA,2.0,164434662.8803649,50.6,101751947.0,399429.0,,62283286.88036488
603526,bakersfield,CA,3.0,355122321.6319667,126.8,34274732.0,,,320847589.6319667
603666,baldwin park,CA,,14450913.011333784,,,,290677.44651510037,14160235.564818684
606000,berkeley,CA,,74036166.13655004,,,,51763163.25887814,22273002.87767189
611194,carlsbad,CA,5.0,340538945.83184594,91.02,236394843.0,9878964.0,13533011.013783015,80732127.81806295
611530,carson,CA,1.0,2680264424.3936515,1075.0,2639450950.0,,820955.5002408123,39992518.89341047
612048,cathedral city,CA,,71237310.53116038,,,,23248831.361071542,47988479.170088835
613210,chino,CA,5.0,489013636.73842317,15.0,408318395.0,,17551680.05932764,63143561.67909553
613392,chula vista,CA,1.0,131129836.1409114,0.0,7383131.0,,17765480.901467197,105981224.2394442
614890,colton,CA,2.0,171509181.00324133,50.4,128866723.0,,9274980.329600189,33367477.673641134
615044,compton,CA,,21847368.73871534,,,,439455.7875383312,21407912.95117701
616532,costa mesa,CA,4.0,129513373.04113673,0.0,80989170.0,,14777082.096843617,33747120.94429311
621712,el cajon,CA,1.0,41952985.14724167,0.0,2092207.0,3688306.0,5193038.169047958,30979433.97819371
622020,elk grove,CA,,112743474.85221724,,,,21786108.730790887,90957366.12142636
622230,el monte,CA,,20824355.779353924,,,,418878.0707846693,20405477.708569255
622678,encinitas,CA,2.0,56018302.75520529,10.5,6216106.0,2296714.0,6820042.163074622,40685440.59213067
622804,escondido,CA,1.0,114306460.60068013,18.0,14819973.0,6378860.0,13366834.923299681,79740792.67738044
623182,fairfield,CA,1.0,140358728.35250682,55.7,36484123.0,,15084018.696505884,88790586.65600093
624680,fontana,CA,1.0,121185800.64965071,0.0,3098639.0,,25684638.099322885,92402523.55032782
626000,fremont,CA,,554308308.703074,,,,387550476.6985072,166757832.00456676
627000,fresno,CA,3.0,532578427.50119793,69.0,250490228.0,,34804831.0,247283368.50119793
628168,gardena,CA,,12701313.730477108,,,,255484.58008616223,12445829.150390945
629000,garden grove,CA,1.0,77666883.41548584,0.0,22549969.0,,16784761.380869415,38332153.034616426
629504,gilroy,CA,2.0,73860247.7534566,0.0,8368144.0,829565.0,29357574.354820497,35304964.398636095
632548,hawthorne,CA,,13264175.039063513,,,,266806.43136252963,12997368.607700983
633000,hayward,CA,1.0,380257498.4066387,18.5,55078000.0,,227352662.12215704,97826836.28448166
636546,inglewood,CA,,19757002.662112407,,,,397408.45994372363,19359594.202168684
